Make,Model,Avg_quantity,Avg_pct
Ford,Ford Focus,246.8148148,2.275618543
Ford,Ford Mondeo,265.2222222,2.554816914
Nissan,Nissan Qashqai,247.5,2.28020439
Nissan,Nissan Leaf,312.2459016,2.563658489
Toyota,Toyota Auris,316.4173913,2.815205743
Toyota,Toyota Yaris,263.6964286,2.323947749
Volvo,Volvo V70,300.8256881,2.738962721
Volvo,Volvo XC60,191.1694915,1.693240961
Volkswagen,Volkswagen Golf,708.7416667,6.239723686
Volkswagen,Volkswagen Passat,333.8333333,3.048696558
Audi ,Audi A3,201.390625,1.716984558
Audi ,Audi A4,198.1153846,1.960167967
BMW ,BMW 3-serie,157.2708333,1.551636127
BMW ,BMW i3,262,2.060216443
Mitsubishi ,Mitsubishi Outlander,284.2625,2.465925643
Mitsubishi ,Mitsubishi ASX,255.08,2.207253389
Peugeot ,Peugeot 308,153.1707317,1.53114697
Peugeot ,Peugeot 207,159.2857143,1.660714286
Skoda ,Skoda Octavia,284.008547,2.542627559
Skoda ,Skoda Superb,142.3333333,1.147667541
